我想购买100分钟的动画套餐，怎么操作？,您可以直接在我们的官方网站 www.xrunda.com选择100分钟动画套餐进行购买，按照页面提示操作即可。
魔法奇幻书籍支持哪些支付方式？,我们支持多种支付方式，包括支付宝、微信支付、银联卡等，以方便您的购买。
我提供的图片和语音安全吗？,我们非常重视您的隐私安全，所有提供的数据都会进行加密处理，仅用于生成您的专属魔法故事。
生成的奇幻书籍可以分享给朋友吗？,当然可以，您可以通过链接或其他方式与您的朋友和家人分享您的专属奇幻书籍。
我想成为一个骑士，怎么设置？,您只需提供一张图片，然后在角色选择页面选择“骑士”角色，系统会自动为您编织骑士的故事。
生成的影片可以下载吗？,生成的奇幻书籍影片可以下载，并且支持多种常见格式。
我的孩子不喜欢粉红色，可以改成蓝色的世界吗？,当然可以，您可以自由调整画风和色彩，打造专属于您孩子的蓝色童话世界。
我购买了1000分钟的套餐，但只用了800分钟，剩余的可以退款吗？,很抱歉，已购买的影片时长暂不支持退款，但您可以在有效期内随时使用。
API接口怎么使用，需要编程知识吗？,我们的API接口设计得非常友好，无需编程基础，您可以方便地将“魔法魔法故事”融入您的产品和服务中。
想要故事更加生动？上载你的音频吧！,“魔法奇幻书籍”将学会你的语调，让每一句故事都仿佛是你亲口讲述。
为什么生成的动画没有语音？,请检查您是否已提供语音文件，或者在设置中开启语音选项。如有问题，请联系我们的在线客服。
我可以同时为两个孩子生成奇幻书籍吗？,当然可以，您可以为每个孩子分别上载影像和音频，生成各自的专属奇幻书籍。
我想了解更多计费详情，可以吗？,当然可以，请访问我们的官方网站 www.xrunda.com，您可以找到详细的计费信息。
生成的奇幻书籍可以打印成纸质书吗？,目前我们主要提供数字格式的奇幻书籍，暂不支持直接打印成纸质书，您可以自行下载后打印。
我想合作或定制服务，怎么联系？,请直接联系guangli@xrunda.com，我们将为您安排在线会议进行功能演示和洽谈合作。
我的影片生成失败了怎么办？,很抱歉给您带来不便，请尝试重新生成，或者联系我们的在线客服，我们将尽快为您解决问题。
可以在手机上使用魔法魔法故事吗？,是的，“魔法魔法故事”支持在手机上通过H5或小程序端使用，您也可以在电脑上通过我们的官方网站 www.xrunda.com访问。
我想送给朋友魔法奇幻书籍作为礼物，可以吗？,当然可以，您可以购买礼品卡或者直接生成奇幻书籍发送给您的朋友。
提供的图片清晰度有要求吗？,为了获得更好的效果，建议您提供清晰度较高的图片。
我有超过1000分钟的影片需求，怎么购买？,超过1000分钟的影片时长需求，请直接联系guangli@xrunda.com，我们将为您提供专门的方案。
我想购买100分钟的动画套餐，怎么操作？,您可以直接在我们的官方网站 www.xrunda.com选择100分钟动画套餐进行购买，按照页面提示操作即可。
魔法奇幻书籍支持哪些支付方式？,我们支持多种支付方式，包括支付宝、微信支付、银联卡等，以方便您的购买。
我提供的图片和语音安全吗？,我们非常重视您的隐私安全，所有提供的数据都会进行加密处理，仅用于生成您的专属魔法故事。
生成的奇幻书籍可以分享给朋友吗？,当然可以，您可以通过链接或其他方式与您的朋友和家人分享您的专属奇幻书籍。
我想成为一个骑士，怎么设置？,您只需提供一张图片，然后在角色选择页面选择“骑士”角色，系统会自动为您编织骑士的故事。
生成的影片可以下载吗？,生成的奇幻书籍影片可以下载，并且支持多种常见格式。
我的孩子不喜欢粉红色，可以改成蓝色的世界吗？,当然可以，您可以自由调整画风和色彩，打造专属于您孩子的蓝色童话世界。
我购买了1000分钟的套餐，但只用了800分钟，剩余的可以退款吗？,很抱歉，已购买的影片时长暂不支持退款，但您可以在有效期内随时使用。
API接口怎么使用，需要编程知识吗？,我们的API接口设计得非常友好，无需编程基础，您可以方便地将“魔法魔法故事”融入您的产品和服务中。
想要故事更加生动？上载你的音频吧！,“魔法奇幻书籍”将学会你的语调，让每一句故事都仿佛是你亲口讲述。
为什么生成的动画没有语音？,请检查您是否已提供语音文件，或者在设置中开启语音选项。如有问题，请联系我们的在线客服。
我可以同时为两个孩子生成奇幻书籍吗？,当然可以，您可以为每个孩子分别上载影像和音频，生成各自的专属奇幻书籍。
我想了解更多计费详情，可以吗？,当然可以，请访问我们的官方网站 www.xrunda.com，您可以找到详细的计费信息。
生成的奇幻书籍可以打印成纸质书吗？,目前我们主要提供数字格式的奇幻书籍，暂不支持直接打印成纸质书，您可以自行下载后打印。
我想合作或定制服务，怎么联系？,请直接联系guangli@xrunda.com，我们将为您安排在线会议进行功能演示和洽谈合作。
我的影片生成失败了怎么办？,很抱歉给您带来不便，请尝试重新生成，或者联系我们的在线客服，我们将尽快为您解决问题。
可以在手机上使用魔法魔法故事吗？,是的，“魔法魔法故事”支持在手机上通过H5或小程序端使用，您也可以在电脑上通过我们的官方网站 www.xrunda.com访问。
我想送给朋友魔法奇幻书籍作为礼物，可以吗？,当然可以，您可以购买礼品卡或者直接生成奇幻书籍发送给您的朋友。
提供的图片清晰度有要求吗？,为了获得更好的效果，建议您提供清晰度较高的图片。
我有超过1000分钟的影片需求，怎么购买？,超过1000分钟的影片时长需求，请直接联系guangli@xrunda.com，我们将为您提供专门的方案。
我想购买100分钟的动画套餐，怎么操作？,您可以直接在我们的官方网站 www.xrunda.com选择100分钟动画套餐进行购买，按照页面提示操作即可。
魔法奇幻书籍支持哪些支付方式？,我们支持多种支付方式，包括支付宝、微信支付、银联卡等，以方便您的购买。
我提供的图片和语音安全吗？,我们非常重视您的隐私安全，所有提供的数据都会进行加密处理，仅用于生成您的专属魔法故事。
